"id_nf","produto_id","pedido_id","quantidade","valor_unitario","valor_total","estado","frete"
"134","77079","78517","4","100","400","BR-PR","80"
"135","6769","79493","3","220","660","BR-RJ","132"
"136","40082","80293","6","315","1890","BR-SP","378"
"137","70240","80667","6","290","1740","BR-PA","348"
"138","15875","80712","3","490","1470","BR-RR","294"
"139","3451","80745","3","250","750","BR-PR","150"
"140","100983","81263","3","350","1050","BR-AM","210"
"141","18790","81673","4","890","3560","BR-PE","712"
"142","57708","83975","4","990","3960","BR-MS","792"
"143","12609","84694","2","320","640","BR-SE","128"
"144","18212","86244","2","120","240","BR-DF","48"
"145","3829","87084","1","2630","2630","BR-PE","526"
"146","43888","87357","3","190","570","BR-MA","114"
"147","27659","88044","2","140","280","BR-ES","56"
"148","43699","88341","3","169","507","BR-AC","101"
"149","43054","88816","2","320","640","BR-PA","128"
"150","41189","91043","6","160","960","BR-CE","192"
"151","61071","91541","6","450","2700","BR-PI","540"
"152","17395","92175","2","1400","2800","BR-RS","560"
"153","17395","92176","2","1400","2800","BR-PR","560"
"154","4553","92421","1","110","110","BR-RS","22"
"155","100460","93690","6","890","5340","BR-PB","1068"
"156","18790","93914","4","890","3560","BR-SE","712"
"157","5292","94912","3","576","1728","BR-RO","346"
"158","49026","95642","4","240","960","BR-MA","192"
"159","75706","96547","2","100","200","BR-PE","40"
"160","79079","97356","1","320","320","BR-ES","64"
"161","53731","97470","1","430","430","BR-SP","86"
"162","10795","97607","4","300","1200","BR-PR","240"
"163","21429","97787","4","390","1560","BR-AL","312"
"164","87711","98324","3","140","420","BR-PB","84"
"165","91248","98964","5","45","225","BR-AL","45"
"166","64127","99139","3","590","1770","BR-GO","354"
"167","17395","99263","6","1400","8400","BR-RO","1680"
"168","87156","100061","6","160","960","BR-PA","192"
"169","44379","100663","5","165","825","BR-RJ","165"
"170","64127","100730","3","590","1770","BR-DF","354"
"171","91248","101091","6","45","270","BR-RR","54"
"172","77558","101342","3","790","2370","BR-SP","474"
"173","75706","101555","3","100","300","BR-PB","60"
"174","56350","102044","4","245","980","BR-SP","196"
"175","6769","102559","3","220","660","BR-RO","132"
"176","6888","102780","1","350","350","BR-MA","70"
"177","14074","104623","3","450","1350","BR-PA","270"
"178","32126","104930","1","210","210","BR-PR","42"
"179","32126","106174","6","210","1260","BR-RJ","252"
"180","41262","106446","3","390","1170","BR-BA","234"
"181","37384","109092","6","700","4200","BR-MS","840"
"182","100939","110023","6","310","1860","BR-RO","372"
"183","21516","110351","3","320","960","BR-ES","192"
"184","6888","110898","4","350","1400","BR-AM","280"
"185","71770","110911","6","530","3180","BR-GO","636"
"186","8707","111760","2","150","300","BR-SE","60"
"187","33976","112781","6","120","720","BR-PE","144"
"188","68110","113601","5","790","3950","BR-PI","790"
"189","3829","113796","3","2630","7890","BR-PB","1578"
"190","39814","114148","6","390","2340","BR-PI","468"
"191","33348","114537","3","160","480","BR-ES","96"
"192","72667","114560","1","139","139","BR-SC","28"
"193","18128","115582","6","795","4770","BR-ES","954"
"194","53138","115894","1","690","690","BR-PI","138"
"195","53731","116399","6","430","2580","BR-AM","516"
"196","61356","116567","1","390","390","BR-RO","78"
"197","83009","117476","2","280","560","BR-SC","112"
"198","29510","118424","6","360","2160","BR-CE","432"
"199","7940","119487","3","1200","3600","BR-AP","720"
"200","49497","119642","3","320","960","BR-PE","192"
"201","6769","120133","4","220","880","BR-PE","176"
"202","74506","120243","6","420","2520","BR-SE","504"
"203","57815","120757","2","100","200","BR-MA","40"
"204","43054","121528","1","320","320","BR-RN","64"
"205","45878","122672","4","210","840","BR-AM","168"
"206","60010","122833","6","90","540","BR-PB","108"
"207","17258","123143","2","420","840","BR-PB","168"
"208","50330","123456","1","210","210","BR-TO","42"
"209","73038","124748","4","90","360","BR-RJ","72"
"210","17990","124882","5","3800","19000","BR-AC","3800"
"211","68110","124906","4","790","3160","BR-PA","632"
"212","24159","125385","4","270","1080","BR-MA","216"
"213","29650","125478","2","120","240","BR-GO","48"
"214","36306","128851","4","390","1560","BR-SE","312"
"215","66135","129292","5","490","2450","BR-PA","490"
"216","18212","130618","6","120","720","BR-MT","144"
"217","44379","131231","3","165","495","BR-MS","99"
"218","13705","131765","2","180","360","BR-RN","72"
"219","14836","131952","5","1100","5500","BR-RR","1100"
"220","56571","132144","4","420","1680","BR-CE","336"
"221","6262","132439","3","644","1932","BR-AL","386"
"222","82990","133289","3","450","1350","BR-AM","270"
"223","100961","134148","2","480","960","BR-AL","192"
"224","100484","134314","6","320","1920","BR-AC","384"
"225","4853","134570","4","100","400","BR-SC","80"
"226","31835","134898","6","399","2394","BR-GO","479"
"227","13472","135623","5","450","2250","BR-GO","450"
"228","40082","136122","5","315","1575","BR-PA","315"
"229","62594","136485","6","300","1800","BR-MT","360"
"230","35129","136530","3","320","960","BR-MT","192"
"231","21244","137432","4","1120","4480","BR-GO","896"
"232","15470","138266","5","590","2950","BR-MA","590"
"233","86544","139353","3","50","150","BR-PB","30"
"234","7871","139643","6","420","2520","BR-SE","504"
"235","9981","139857","5","4000","20000","BR-BA","4000"
"236","66135","258","2","490","980","BR-TO","196"
"237","86243","385","1","350","350","BR-RO","70"
"238","33349","997","6","270","1620","BR-RR","324"
"239","28699","1629","1","420","420","BR-AC","84"
"240","17329","3801","2","590","1180","BR-RJ","236"
"241","89100","3914","6","4200","25200","BR-PI","5040"
"242","44379","5060","6","165","990","BR-RN","198"
"243","83009","5129","2","280","560","BR-MS","112"
"244","75706","5546","6","100","600","BR-DF","120"
"245","33349","6171","3","270","810","BR-MT","162"
"246","36306","6198","5","390","1950","BR-AL","390"
"247","8673","6503","2","490","980","BR-BA","196"
"248","42913","8006","2","2590","5180","BR-MA","1036"
"249","7871","8679","3","420","1260","BR-AM","252"
"250","47682","10460","3","430","1290","BR-RN","258"
"251","53138","11081","1","690","690","BR-RR","138"
"252","8456","11244","6","360","2160","BR-AP","432"
"253","75557","12085","4","90","360","BR-PB","72"
"254","40508","14210","4","245","980","BR-SE","196"
"255","64127","14583","2","590","1180","BR-AC","236"
"256","89334","16061","4","350","1400","BR-AM","280"
"257","18212","16227","3","120","360","BR-MG","72"
"258","45979","18408","6","280","1680","BR-PE","336"
"259","55452","18506","5","350","1750","BR-PR","350"
"260","72667","18579","6","139","834","BR-RR","167"
"261","6888","19046","3","350","1050","BR-SP","210"
"262","82990","20613","5","450","2250","BR-GO","450"
"263","8456","21264","3","360","1080","BR-RR","216"
"264","86243","23253","6","350","2100","BR-PI","420"
"265","57696","25829","4","410","1640","BR-RR","328"
"266","50771","26761","1","340","340","BR-AM","68"
"267","86302","27049","4","139","556","BR-AM","111"
"268","21516","27677","1","320","320","BR-GO","64"
"269","37384","27809","6","700","4200","BR-SP","840"
"270","6742","27891","3","850","2550","BR-PA","510"
"271","25562","28295","6","320","1920","BR-TO","384"
"272","4853","28812","1","100","100","BR-BA","20"
"273","72621","28816","6","179","1074","BR-RJ","215"
"274","43699","29129","4","169","676","BR-TO","135"
"275","11218","29289","5","250","1250","BR-AP","250"
"276","38723","30199","5","80","400","BR-MT","80"
"277","71770","30571","3","530","1590","BR-ES","318"
"278","13906","30901","3","340","1020","BR-RR","204"
"279","100983","31071","3","350","1050","BR-RJ","210"
"280","32986","31100","5","315","1575","BR-MS","315"
"281","87711","31619","4","140","560","BR-SC","112"
"282","48483","33068","6","400","2400","BR-RJ","480"
"283","5412","34058","2","788","1576","BR-PR","315"
"284","49497","35888","1","320","320","BR-AL","64"
"285","13472","35975","6","450","2700","BR-MA","540"
"286","45979","36081","4","280","1120","BR-SE","224"
"287","86243","36571","6","350","2100","BR-PE","420"
"288","9981","36768","4","4000","16000","BR-ES","3200"
"289","66255","37506","4","390","1560","BR-PA","312"
"290","36195","37547","6","110","660","BR-MS","132"
"291","77558","37746","4","790","3160","BR-PI","632"
"292","9809","38037","2","260","520","BR-RO","104"
"293","87711","38053","5","140","700","BR-RJ","140"
"294","53731","38991","5","430","2150","BR-RN","430"
"295","87156","39234","4","160","640","BR-ES","128"
"296","57696","39994","1","410","410","BR-SE","82"
"297","36195","40358","5","110","550","BR-DF","110"
"298","77558","40834","2","790","1580","BR-MS","316"
"299","29510","40954","6","360","2160","BR-RO","432"
"300","43699","41667","6","169","1014","BR-DF","203"
"301","32986","41751","6","315","1890","BR-PE","378"
"302","70813","42047","6","120","720","BR-RJ","144"
"303","12812","42287","2","320","640","BR-CE","128"
"304","37384","43075","4","700","2800","BR-SE","560"
"305","65473","43365","5","210","1050","BR-RJ","210"
"306","97039","43522","2","320","640","BR-AL","128"
"307","64127","43774","2","590","1180","BR-AC","236"
"308","6742","45253","2","850","1700","BR-SP","340"
"309","40082","45395","1","315","315","BR-RO","63"
"310","39368","45706","6","279","1674","BR-PA","335"
"311","7940","45911","1","1200","1200","BR-PI","240"
"312","86243","46132","1","350","350","BR-PR","70"
"313","100481","47640","5","410","2050","BR-RR","410"
"314","61356","47721","6","390","2340","BR-GO","468"
"315","53138","48553","5","690","3450","BR-SP","690"
"316","27659","49498","1","140","140","BR-SP","28"
"317","49026","49565","6","240","1440","BR-AL","288"
"318","13906","49755","5","340","1700","BR-MA","340"
"319","4553","52936","5","110","550","BR-BA","110"
"320","97039","54104","2","320","640","BR-RS","128"
"321","29012","54346","1","525","525","BR-AL","105"
"322","43054","54637","3","320","960","BR-MA","192"
"323","29893","55620","4","420","1680","BR-GO","336"
"324","24159","56562","5","270","1350","BR-PI","270"
"325","14836","57767","3","1100","3300","BR-SP","660"
"326","12812","58227","3","320","960","BR-RR","192"
"327","17258","59057","5","420","2100","BR-AP","420"
"328","53138","59403","2","690","1380","BR-BA","276"
"329","72667","60151","3","139","417","BR-RS","83"
"330","6262","61427","3","644","1932","BR-SE","386"
"331","17258","61487","4","420","1680","BR-RN","336"
"332","15875","63175","3","490","1470","BR-ES","294"
"333","36195","63477","5","110","550","BR-RO","110"
"334","86544","63670","4","50","200","BR-AC","40"
"335","29650","64170","5","120","600","BR-PE","120"
"336","79079","67318","1","320","320","BR-SC","64"
"337","50771","67812","3","340","1020","BR-PB","204"
"338","12751","68666","1","400","400","BR-RO","80"
"339","74506","68964","5","420","2100","BR-PA","420"
"340","71946","69314","4","290","1160","BR-MS","232"
"341","75557","69917","1","90","90","BR-SP","18"
"342","100484","70057","4","320","1280","BR-AM","256"
"343","15470","70159","2","590","1180","BR-MS","236"
"344","71946","71259","4","290","1160","BR-TO","232"
"345","25562","72637","3","320","960","BR-RS","192"
"346","3829","72959","4","2630","10520","BR-MS","2104"
"347","58245","73153","1","120","120","BR-MT","24"
"348","18212","73344","4","120","480","BR-RN","96"
"349","97039","75154","2","320","640","BR-BA","128"
"350","12609","75724","3","320","960","BR-MS","192"
"351","30263","75795","2","135","270","BR-PE","54"
"352","44424","76003","1","360","360","BR-PR","72"
"353","31651","76352","2","180","360","BR-PB","72"
"354","19432","77161","4","190","760","BR-MG","152"
"355","86302","78468","2","139","278","BR-SP","56"
"356","56380","80657","6","179","1074","BR-PI","215"
"357","14420","81252","3","690","2070","BR-ES","414"
"358","4853","81614","6","100","600","BR-TO","120"
"359","14074","81753","5","450","2250","BR-RR","450"
"360","21429","81789","1","390","390","BR-AC","78"
"361","93262","81971","1","450","450","BR-PA","90"
"362","20029","82800","1","294","294","BR-DF","59"
"363","14836","83159","1","1100","1100","BR-SE","220"
"364","33348","83708","4","160","640","BR-MG","128"
"365","53731","83871","6","430","2580","BR-CE","516"
"366","70240","83914","6","290","1740","BR-MA","348"
"367","51238","83925","5","410","2050","BR-RR","410"
"368","17258","84831","3","420","1260","BR-RS","252"
"369","46573","85046","1","350","350","BR-RJ","70"
"370","82990","85659","6","450","2700","BR-AL","540"
"371","85154","85905","6","420","2520","BR-PA","504"
"372","16634","86867","2","480","960","BR-AM","192"
"373","18212","86918","2","120","240","BR-AM","48"
"374","54794","89000","1","350","350","BR-MG","70"
"375","46573","89463","5","350","1750","BR-RS","350"
"376","57696","90158","1","410","410","BR-MT","82"
"377","84743","91785","1","120","120","BR-CE","24"
"378","32126","93834","5","210","1050","BR-MG","210"
"379","6699","94195","5","320","1600","BR-MT","320"
"380","22407","95475","5","200","1000","BR-RN","200"
"381","8673","96011","2","490","980","BR-BA","196"
"382","56571","96185","6","420","2520","BR-PB","504"
"383","3451","96428","3","250","750","BR-RS","150"
"384","13472","96551","1","450","450","BR-SC","90"
"385","17258","96581","3","420","1260","BR-ES","252"
"386","48483","96584","4","400","1600","BR-BA","320"
"387","6742","97489","2","850","1700","BR-CE","340"
"388","61071","97935","3","450","1350","BR-AL","270"
"389","100481","98442","4","410","1640","BR-PI","328"
"390","44207","100140","1","290","290","BR-PI","58"
"391","9981","100584","2","4000","8000","BR-DF","1600"
"392","50478","100708","1","315","315","BR-PE","63"
"393","88368","100966","6","250","1500","BR-RS","300"
"394","20029","101184","5","294","1470","BR-MT","294"
"395","44207","101748","1","290","290","BR-RN","58"
"396","83866","102584","2","990","1980","BR-GO","396"
"397","83792","102700","2","390","780","BR-AM","156"
"398","86302","103184","1","139","139","BR-MA","28"
"399","31835","104206","2","399","798","BR-GO","160"
"400","7940","104482","4","1200","4800","BR-RS","960"
"401","86845","105725","3","110","330","BR-RN","66"
"402","10795","105941","1","300","300","BR-PI","60"
"403","7729","106256","6","360","2160","BR-RO","432"
"404","35682","106393","6","250","1500","BR-SC","300"
"405","73038","106557","4","90","360","BR-MA","72"
"406","50478","106699","5","315","1575","BR-SP","315"
"407","31651","107459","5","180","900","BR-RJ","180"
"408","83792","108417","1","390","390","BR-GO","78"
"409","64127","108664","3","590","1770","BR-AL","354"
"410","17258","108689","1","420","420","BR-PA","84"
"411","61356","110454","4","390","1560","BR-AL","312"
"412","82990","111247","1","450","450","BR-DF","90"
"413","28699","111279","5","420","2100","BR-RR","420"
"414","12812","111454","6","320","1920","BR-MT","384"
"415","51238","111721","3","410","1230","BR-DF","246"
"416","73692","112420","3","90","270","BR-TO","54"
"417","9397","113225","1","345","345","BR-PE","69"
"418","39368","113914","3","279","837","BR-PI","167"
"419","24159","114745","5","270","1350","BR-PR","270"
"420","9397","115040","4","345","1380","BR-TO","276"
"421","33348","115210","4","160","640","BR-RS","128"
"422","8691","115650","4","180","720","BR-CE","144"
"423","15470","115875","5","590","2950","BR-ES","590"
"424","49497","115989","4","320","1280","BR-PI","256"
"425","84743","116001","6","120","720","BR-SE","144"
"426","44379","116157","2","165","330","BR-AC","66"
"427","21244","116927","3","1120","3360","BR-TO","672"
"428","6381","117747","2","586","1172","BR-MG","234"
"429","71190","117894","1","360","360","BR-MA","72"
"430","82257","119431","5","1600","8000","BR-PB","1600"
"431","33976","120794","4","120","480","BR-PA","96"
"432","100481","121170","4","410","1640","BR-SC","328"
"433","57696","122508","6","410","2460","BR-PB","492"
"434","4853","122545","3","100","300","BR-RN","60"
"435","14836","123941","6","1100","6600","BR-GO","1320"
"436","100961","124940","2","480","960","BR-RR","192"
"437","84176","125043","1","310","310","BR-BA","62"
"438","38723","125834","1","80","80","BR-AP","16"
"439","35129","125860","2","320","640","BR-AM","128"
"440","15470","126383","3","590","1770","BR-RS","354"
"441","7729","127881","6","360","2160","BR-MS","432"
"442","79551","128519","4","290","1160","BR-SC","232"
"443","74506","131091","4","420","1680","BR-MA","336"
"444","6888","131182","5","350","1750","BR-SC","350"
"445","59337","132488","2","390","780","BR-ES","156"
"446","59337","132778","1","390","390","BR-MS","78"
"447","36306","133275","1","390","390","BR-SE","78"
"448","87711","133343","2","140","280","BR-AM","56"
"449","75557","133442","5","90","450","BR-GO","90"
"450","7193","133463","6","320","1920","BR-AL","384"
"451","51314","134133","3","410","1230","BR-GO","246"
"452","32126","135465","6","210","1260","BR-PI","252"
"453","3829","135613","4","2630","10520","BR-SP","2104"
"454","61071","135962","6","450","2700","BR-PE","540"
"455","98964","136343","2","280","560","BR-AC","112"
"456","4835","137806","2","560","1120","BR-RR","224"
"457","83009","138508","5","280","1400","BR-MS","280"
"458","43054","139247","3","320","960","BR-PB","192"
"459","66539","218","1","399","399","BR-PB","80"
"460","85154","228","5","420","2100","BR-PB","420"
"461","53458","550","3","450","1350","BR-PI","270"
"462","9809","1332","6","260","1560","BR-PB","312"
"463","8673","2878","1","490","490","BR-AM","98"
"464","75557","2971","4","90","360","BR-PE","72"
"465","20029","3032","5","294","1470","BR-MS","294"
"466","100484","3679","6","320","1920","BR-PI","384"
"467","32890","3857","2","480","960","BR-MA","192"
"468","100961","5238","5","480","2400","BR-TO","480"
"469","70813","5355","1","120","120","BR-PE","24"
"470","18212","5484","3","120","360","BR-MA","72"
"471","95805","5547","1","100","100","BR-CE","20"
"472","50771","5778","4","340","1360","BR-MT","272"
"473","47405","5939","3","310","930","BR-PA","186"
"474","19432","5998","5","190","950","BR-SC","190"
"475","50478","6066","2","315","630","BR-PI","126"
"476","12812","6654","6","320","1920","BR-SP","384"
"477","4553","6843","3","110","330","BR-AC","66"
"478","12751","7054","5","400","2000","BR-GO","400"
"479","61356","8548","4","390","1560","BR-BA","312"
"480","40082","9510","6","315","1890","BR-TO","378"
"481","39814","9556","1","390","390","BR-RJ","78"
"482","62594","10156","2","300","600","BR-TO","120"
"483","23575","10733","6","210","1260","BR-BA","252"
"484","5995","12048","6","398","2388","BR-RJ","478"
"485","79551","12377","2","290","580","BR-SP","116"
"486","13814","13399","6","550","3300","BR-AC","660"
"487","71946","13865","2","290","580","BR-SE","116"
"488","98964","14257","3","280","840","BR-PR","168"
"489","41518","15598","3","260","780","BR-AP","156"
"490","74506","16297","2","420","840","BR-PA","168"
"491","72621","17201","6","179","1074","BR-TO","215"
"492","33976","18177","1","120","120","BR-AM","24"
"493","4553","18295","5","110","550","BR-RO","110"
"494","86302","18297","5","139","695","BR-MA","139"
"495","13814","18531","6","550","3300","BR-MG","660"
"496","70240","18629","5","290","1450","BR-PI","290"
"497","83792","18792","4","390","1560","BR-SE","312"
"498","27659","20160","1","140","140","BR-PR","28"
"499","14074","21027","4","450","1800","BR-MT","360"
"500","77079","21584","5","100","500","BR-PA","100"
"501","100983","21789","5","350","1750","BR-RR","350"
"502","75557","22580","2","90","180","BR-MT","36"
"503","6742","23518","3","850","2550","BR-RJ","510"
"504","45979","23557","3","280","840","BR-PB","168"
"505","73038","23653","5","90","450","BR-SC","90"
"506","53941","23949","1","280","280","BR-PB","56"
"507","17258","24080","4","420","1680","BR-AP","336"
"508","17258","25565","5","420","2100","BR-RN","420"
"509","59337","25856","3","390","1170","BR-MA","234"
"510","44379","26067","6","165","990","BR-TO","198"
"511","13716","26093","3","450","1350","BR-ES","270"
"512","57815","26134","1","100","100","BR-TO","20"
"513","50771","26263","6","340","2040","BR-RO","408"
"514","44207","26534","4","290","1160","BR-GO","232"
"515","9981","28162","4","4000","16000","BR-RJ","3200"
"516","56571","29196","5","420","2100","BR-MT","420"
"517","73038","30444","1","90","90","BR-AM","18"
"518","12895","30687","1","2600","2600","BR-SE","520"
"519","17258","30767","1","420","420","BR-SC","84"
"520","71190","33931","1","360","360","BR-AM","72"
"521","10086","35128","5","750","3750","BR-PR","750"
"522","36195","36008","5","110","550","BR-MS","110"
"523","74506","36192","4","420","1680","BR-PE","336"
"524","91498","37357","3","130","390","BR-PR","78"
"525","67445","37459","6","320","1920","BR-PA","384"
"526","21516","37473","6","320","1920","BR-MG","384"
"527","41262","38162","6","390","2340","BR-AM","468"
"528","10086","38699","1","750","750","BR-CE","150"
"529","29893","41957","2","420","840","BR-AC","168"
"530","64127","42058","6","590","3540","BR-AP","708"
"531","21429","42926","1","390","390","BR-AP","78"
"532","84692","43231","4","499","1996","BR-RR","399"
"533","27336","44391","3","250","750","BR-ES","150"
"534","58472","44654","5","150","750","BR-MS","150"
"535","15470","44785","5","590","2950","BR-CE","590"
"536","47405","45627","4","310","1240","BR-AL","248"
"537","83792","46193","2","390","780","BR-MT","156"
"538","35129","46474","3","320","960","BR-BA","192"
"539","30263","47288","3","135","405","BR-DF","81"
"540","22568","48186","5","245","1225","BR-RN","245"
"541","60010","48231","6","90","540","BR-MS","108"
"542","30263","48360","6","135","810","BR-SP","162"
"543","47405","48547","5","310","1550","BR-CE","310"
"544","70673","48717","5","210","1050","BR-PE","210"
"545","33349","49230","4","270","1080","BR-PI","216"
"546","83866","49558","3","990","2970","BR-PA","594"
"547","45878","50087","1","210","210","BR-GO","42"
"548","6262","50771","6","644","3864","BR-GO","773"
"549","8707","51262","5","150","750","BR-MA","150"
"550","18790","51711","6","890","5340","BR-SC","1068"
"551","18212","51818","2","120","240","BR-MG","48"
"552","49497","52559","1","320","320","BR-MG","64"
"553","84176","53216","5","310","1550","BR-CE","310"
"554","45695","53747","1","240","240","BR-MG","48"
"555","47682","53772","3","430","1290","BR-AC","258"
"556","50478","53936","2","315","630","BR-AM","126"
"557","47475","54306","1","490","490","BR-MA","98"
"558","19432","54965","4","190","760","BR-MT","152"
"559","66539","55594","2","399","798","BR-DF","160"
"560","6137","57333","2","100","200","BR-RN","40"
"561","11736","57514","1","740","740","BR-PB","148"
"562","51314","57934","3","410","1230","BR-ES","246"
"563","28699","58898","6","420","2520","BR-DF","504"
"564","6381","58907","3","586","1758","BR-RO","352"
